"中文名","學名","備註"
"周氏樹蛙","Buergeria choui","特有種"
"太田樹蛙","Buergeria otai","特有種"
"褐樹蛙","Buergeria robusta","特有種"
"碧眼樹蛙","Kurixalus berylliniris","特有種"
"艾氏樹蛙","Kurixalus eiffingeri",""
"面天樹蛙","Kurixalus idiootocus","特有種"
"王氏樹蛙","Kurixalus wangi","特有種"
"布氏樹蛙","Polypedates braueri",""
"斑腿樹蛙","Polypedates megacephalus","外來種"
"諸羅樹蛙","Zhangixalus arvalis","特有種"
"橙腹樹蛙","Zhangixalus aurantiventris","特有種"
"莫氏樹蛙","Zhangixalus moltrechti","特有種"
"翡翠樹蛙","Zhangixalus prasinatus","特有種"
"台北樹蛙","Zhangixalus taipeianus","特有種"